compound,aurl,log(kappa),spacegroup_relax,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_entropy_300K_atom,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K,agl_bulk_modulus_isothermal_300K
Ca1S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,1.169003963,225,436.099,1.93521,5.6097,5.42394,5.85E-05,0.263961,6.17766,54.0585,52.2683
Ca4Ge4Ni6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Ge2Ni3_ICSD_421074,0.543607448,51,358.008,1.87681,40.4149,39.2357,5.30E-05,0.31164,-10.665,75.4013,73.2013
Cu1Hf1Hg2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Hf1Hg2_ICSD_102969,-0.195175237,216,134.009,2.50532,12.4233,11.8885,5.85E-05,0.56279,-90.5582,96.9248,92.7529
Ga4Ho2Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga2Ho1Pd1_ICSD_600151,0.444477313,63,277.089,2.27119,23.9287,23.0471,5.52E-05,0.376013,-32.1097,91.3752,88.0087
Ca2Ga4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_260645,0.595031918,194,341.195,2.2556,18.1104,16.9524,9.84E-05,0.327252,-15.9765,43.6764,40.8836
Cd2Er4Ge4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cd1Er2Ge2_ICSD_424177,0.527037981,127,269.963,2.05652,29.8026,28.8627,5.21E-05,0.381918,-34.0257,73.2352,70.9255
S6Zn6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Zn1_ICSD_42798,0.435594352,186,348.987,1.99227,35.0248,33.7571,6.21E-05,0.318602,-13.0437,65.6395,63.2638
Ge8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ge1_ICSD_167204,0.560891344,194,329.987,2.26676,23.7605,22.6722,6.96E-05,0.333696,-18.1453,55.4445,52.905
Ho12Ru4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ho3Ru1_ICSD_639642,0.301706967,62,201.985,1.72595,47.9238,46.9513,3.97E-05,0.452591,-56.5098,68.9483,67.5491
Si2Th1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2Th1_ICSD_15449,0.603590351,191,239.049,2.09872,8.95909,8.73028,4.11E-05,0.412018,-43.6921,97.2708,94.7866
Pb3Yb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb3Yb1_ICSD_105646,0.436445721,221,165.058,2.02566,12.4061,11.8327,7.88E-05,0.510425,-74.4839,35.6228,33.9764
Bi2Er6Mn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi2Er6Mn1_ICSD_159228,0.522874402,189,212.024,1.8344,27.0516,26.3589,4.71E-05,0.441888,-53.1485,59.0658,57.5533
F9Y3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3Y1_ICSD_15961,0.639432697,221,489.191,2.10577,32.8233,31.7209,5.47E-05,0.237223,16.1758,109.67,105.986
Li2Se1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li2Se1_ICSD_168446,0.803876867,225,369.733,1.80341,9.00216,8.39009,0.00013173,0.307936,-9.39186,30.5685,28.4901
As8Ga8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Ga1_ICSD_41992,0.32486661,205,323.009,2.24948,47.6524,45.4473,7.06E-05,0.338724,-19.8289,59.5423,56.7869
Ir8Zr16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1Zr2_ICSD_641208,0.102701198,227,217.967,1.856,71.151,70.1631,2.51E-05,0.432676,-50.2445,148.014,145.959
As2Ba2Cu2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/As1Ba1Cu1_ICSD_41705,0.485746972,194,257.911,2.15515,18.238,17.3865,7.45E-05,0.395539,-38.4193,46.2948,44.1335
Ag2Dy2Sn2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ag1Dy1Sn1_ICSD_418582,0.476696887,186,236.943,2.24595,18.1877,17.4773,5.93E-05,0.416071,-44.9824,64.4649,61.9469
Ce1Tl3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ce1Tl3_ICSD_102295,0.068775656,221,148.013,2.47198,12.5671,11.8663,7.79E-05,0.539317,-83.3712,49.9417,47.1567
C1Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,1.163513202,225,444.036,2.44261,5.6342,5.40816,5.65E-05,0.260568,7.42052,113.395,108.846
Er1Hg2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Hg2_ICSD_103246,0.280259589,191,169.928,2.56895,9.39513,8.86839,7.50E-05,0.50426,-72.5808,61.7088,58.2491
Cu36Ga16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cu9Ga4_ICSD_627389,-0.181905471,215,336.837,2.51039,156.13,147.1,7.96E-05,0.329781,-16.8292,99.6055,93.8441
Ga3Ni5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga3Ni5_ICSD_103861,0.517061233,65,364.91,2.2892,23.1547,22.365,5.09E-05,0.307265,-9.16077,152.176,146.986
As1Rh2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1Rh2_ICSD_43362,0.918761413,225,353.018,2.42106,8.6242,8.41814,3.35E-05,0.313904,-11.4404,182.852,178.483
Cr3N1Pt1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cr3N1Pt1_ICSD_53142,0.56499728,221,343.932,2.56492,14.8126,14.1025,6.45E-05,0.323738,-14.7881,111.499,106.154
La3Sn7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/La3Sn7_ICSD_261872,0.171390001,65,200.961,2.13883,30.4818,29.3662,5.85E-05,0.456912,-57.8633,51.3288,49.4504
Cr2N6Sr6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Cr1N3Sr3_ICSD_154803,0.662803147,176,415.14,1.942,39.3626,38.3154,4.66E-05,0.275311,2.06847,80.7801,78.631
Cu2Nb8Si2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cu1Nb4Si1_ICSD_628492,0.922575479,124,429.069,1.90483,33.0673,32.6064,2.46E-05,0.266263,5.33838,176.654,174.192
Sc4Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Sc1Te1_ICSD_262042,0.426945339,194,257.043,2.03341,23.929,23.1733,5.27E-05,0.394184,-37.9838,59.8353,57.9457
Pd1Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Pd1Zr2_ICSD_105758,0.920515163,139,292.978,1.9703,8.76271,8.59342,3.30E-05,0.359522,-26.72,118.464,116.175
Mo2P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Mo1P2_ICSD_37222,1.351850397,36,631.054,2.10328,14.8336,14.5865,2.68E-05,0.179548,39.9303,177.263,174.311
Bi2Ho6Rh1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Bi2Ho6Rh1_ICSD_180044,0.30798568,189,178.031,1.83256,27.2173,26.5464,4.52E-05,0.486382,-67.0461,61.1233,59.6165
Rh1Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Rh1Y1_ICSD_105972,0.922033252,221,272.937,2.01561,5.89961,5.76515,3.82E-05,0.37783,-32.7,105.915,103.5
Co4Er4Ga4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Er1Ga1_ICSD_102373,0.234876516,62,238.997,1.97636,35.9224,34.9177,4.79E-05,0.411611,-43.5625,100.353,97.5461
C3N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C3N4_ICSD_246659,1.953895901,215,1741.61,1.98054,5.82025,5.78649,9.96E-06,0.0286912,168.955,372.322,370.163
O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/O2_ICSD_164724,0.836174683,194,593.895,2.11692,10.3688,9.96919,6.28E-05,0.193477,33.837,99.5079,95.6726
Al2Cu2O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al1Cu1O2_ICSD_31368,0.933221973,194,590.863,2.0182,20.455,19.955,4.13E-05,0.193979,33.6225,165.81,161.756
B28,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B28_ICSD_164658,1.579239245,58,1622.02,1.63537,26.7431,26.5769,1.29E-05,0.0343385,156.255,231.594,230.155
Au2Ta6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Au1Ta3_ICSD_58599,0.619169534,223,236.002,1.97953,23.6139,23.2844,2.37E-05,0.41268,-43.9032,184.713,182.136
Al3La1Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Al3La1Pd2_ICSD_105500,0.718653624,191,342.065,2.11533,17.401,16.911,4.52E-05,0.322325,-14.3091,98.4447,95.6724
C1In1La3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1In1La3_ICSD_80956,0.765830175,221,249.041,1.77678,14.8621,14.5098,4.51E-05,0.400925,-40.1477,54.4971,53.2054
Al4Se8Sr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Al2Se4Sr1_ICSD_609319,0.396394648,66,303.889,1.9761,41.4102,39.9951,5.89E-05,0.352491,-24.403,49.2487,47.5657
Ge6Rh10,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ge3Rh5_ICSD_42776,0.415737701,55,349.966,2.38463,46.0996,44.9642,3.49E-05,0.316693,-12.3931,188.222,183.586
C1Er1Rh3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/C1Er1Rh3_ICSD_108131,0.89461343,221,359.071,2.18476,14.2794,13.996,3.07E-05,0.309502,-9.93077,195.455,191.575
Ga4La4Pt4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ga1La1Pt1_ICSD_634512,-0.031805276,62,182.066,2.16219,36.4178,35.368,4.52E-05,0.480728,-65.2902,90.6528,88.0397
Rh4Sb12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Rh1Sb3_ICSD_650248,0.356733162,204,285.094,2.33833,47.4296,45.9669,4.49E-05,0.367745,-29.4152,82.8244,80.2701
Co8Ge26Lu6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Co4Ge13Lu3_ICSD_623466,0.228680045,223,349.038,2.15844,116.257,112.485,5.12E-05,0.31794,-12.8182,102.146,98.8313
Nb2Pt2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Nb1Pt1_ICSD_645211,0.983899946,51,319.006,2.21113,11.5433,11.3585,2.44E-05,0.338058,-19.6065,217.538,214.055
F12Na4Zn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/F3Na1Zn1_ICSD_69349,0.22086091,62,430.305,2.08201,57.7356,54.5102,9.35E-05,0.270016,3.97637,74.4705,70.3103
Ca8H4N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2H1N1_ICSD_292,0.686355585,227,562.883,1.8937,42.1021,40.6148,6.41E-05,0.2052,28.9073,65.0196,62.7228
Mn2Te2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mn1Te1_ICSD_174028,0.376005429,194,204.976,1.99584,12.2445,11.7391,6.92E-05,0.453201,-56.7012,46.6301,44.7054
Dy2S4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Dy1S2_ICSD_630195,0.779079648,129,325.982,1.91022,17.4299,17.0029,4.35E-05,0.333534,-18.0911,88.7059,86.5329
Ba1O3Pu1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1O3Pu1_ICSD_43768,0.846441033,221,331.063,1.99449,14.4916,14.1463,4.04E-05,0.33009,-16.9333,114.665,111.933
Ir4Zr12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ir1Zr3_ICSD_104607,0.0638548,121,192.977,1.79892,47.7126,47.0333,2.66E-05,0.463065,-59.7872,133.157,131.261
Au2Nb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au2Nb1_ICSD_58558,0.680048004,191,246.967,2.49906,8.95419,8.71036,3.70E-05,0.40289,-40.7769,157.559,153.268
Ni3P3W3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ni1P1W1_ICSD_646181,0.722082479,189,370.033,2.16591,25.534,25.0859,2.73E-05,0.302227,-7.41988,249.312,244.937
Ir4Si4Ta4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ir1Si1Ta1_ICSD_411884,0.953074619,62,395.062,2.08377,33.5381,33.0954,2.13E-05,0.285868,-1.693,252.258,248.928
B8Fe4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/B2Fe1_ICSD_425310,1.501186655,62,1049.89,1.88658,21.0437,20.8034,2.05E-05,0.0853913,94.1474,308.08,304.562
La1S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La1S1_ICSD_183951,0.964317155,221,293.064,2.06495,5.90119,5.73087,4.75E-05,0.36043,-27.0184,74.5368,72.3855
Br1K3O1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Br1K3O1_ICSD_33920,0.111951057,221,235.057,2.13584,16.5417,14.6119,0.000196902,0.430885,-49.6787,16.6486,14.7064
Ga2P2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ga1P1_ICSD_67772,0.918793353,186,410.018,2.14423,11.3802,10.9799,5.59E-05,0.279286,0.645616,71.715,69.1928
Au4In8Na12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au1In2Na3_ICSD_170867,-0.800554752,227,148.82,2.46855,81.3348,71.2644,0.00018131,0.550488,-86.7949,23.7305,20.7923
Al1Pt3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Al1Pt3_ICSD_107869,0.627779468,221,264.991,2.52683,11.8519,11.5581,3.32E-05,0.385633,-35.2273,210.125,204.916
Li3Sb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Li3Sb1_ICSD_44900,0.653029106,225,335.039,1.793,12.2269,11.332,0.000143101,0.332909,-17.8813,29.3534,27.205
Ba2Be4N4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ba1Be2N2_ICSD_415304,0.922637241,140,521.929,1.82395,26.633,25.9576,4.73E-05,0.221615,22.2609,101.833,99.2502
Ba1Fe1O3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ba1Fe1O3_ICSD_262131,0.858983894,221,466.137,2.32479,13.9459,13.3835,5.99E-05,0.249475,11.5342,112.258,107.731
Cl16Hg12O4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Cl4Hg3O1_ICSD_28377,-0.450029854,198,193.023,2.37984,100.885,94.2137,9.62E-05,0.473239,-62.9606,39.5163,36.9031
Sb1Tl1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Sb1Tl1_ICSD_184577,0.170235305,216,136.075,2.41525,6.40724,5.94537,0.00010309,0.565369,-91.3463,26.7129,24.7873
Dy2Pd2Sb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Dy1Pd1Sb1_ICSD_630088,0.389392922,194,221.031,2.21654,18.0757,17.5404,4.52E-05,0.432565,-50.2097,89.1192,86.4798
Cd2Cu2F8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cd1Cu1F4_ICSD_73478,0.238713349,140,361.128,2.25246,35.4375,33.6313,7.82E-05,0.311675,-10.6768,90.7863,86.1591
Au2O4Sc2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Au1O2Sc1_ICSD_95669,0.440567492,194,310.975,2.14139,23.49,22.7969,4.68E-05,0.346255,-22.3377,125.86,122.147
Pb4Sr8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Pb1Sr2_ICSD_105624,-0.089908386,62,153.993,1.95121,37.5177,35.5639,9.18E-05,0.528516,-80.0546,22.8751,21.6838
Ag1In5Te8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1In5Te8_ICSD_151871,-0.087279615,111,183.974,2.29195,43.6899,41.2803,8.24E-05,0.483835,-66.2555,32.8318,31.0211
Mn2Si2Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Mn2Si2Y1_ICSD_643695,0.911905656,139,442.203,2.21015,14.0666,13.5327,5.88E-05,0.261612,7.03727,78.1443,75.1781
Al40V4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al10V1_ICSD_58202,0.189066199,227,469.962,2.02893,121.41,117.44,5.50E-05,0.246559,12.6288,80.7202,78.0807
F3Na1V1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/F3Na1V1_ICSD_60611,0.421501921,221,382.929,2.16182,14.8009,13.9064,9.75E-05,0.298678,-6.18709,61.8326,58.0956
La4Sb2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/La2Sb1_ICSD_10442,0.548157159,139,213.992,1.9225,18.0453,17.5642,4.69E-05,0.439388,-52.3613,50.2148,48.8761
P1Sn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/P1Sn1_ICSD_77786,0.856975263,225,302.127,2.25501,5.95802,5.71953,6.07E-05,0.355161,-25.2844,67.4163,64.7176
C1Ce1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,1.459407567,225,416.023,1.79392,5.55038,5.46577,2.86E-05,0.273444,2.73951,137.202,135.111
B1In1Sc3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/B1In1Sc3_ICSD_44421,1.074926097,221,428.977,1.84396,13.9339,13.5978,4.44E-05,0.267315,4.95594,73.5049,71.7317
Pt1Sb1Tb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pt1Sb1Tb1_ICSD_77950,0.753363942,216,234.017,2.22735,8.97759,8.7413,4.00E-05,0.417371,-45.3958,95.0676,92.5655
B1C7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B1C7_ICSD_181952,2.162026432,115,1993.74,1.75439,5.02607,5.00862,6.69E-06,0.020377,194.088,369.964,368.679
Fe4Si4Ta4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Fe1Si1Ta1_ICSD_633568,0.818041708,62,401.963,2.03343,33.6724,33.0126,3.25E-05,0.282322,-0.435898,162.942,159.749
Hf3Rh3Sn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Rh1Sn1_ICSD_638836,0.454363059,189,254.946,2.18908,26.6263,26.0711,3.21E-05,0.394343,-38.0349,145.34,142.309
B4Nb6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/B2Nb3_ICSD_107319,1.427106179,127,649.968,1.79804,24.2652,24.006,2.00E-05,0.173195,42.8071,230.564,228.101
O3Re1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O3Re1_ICSD_105546,1.337143659,221,567.933,2.16789,10.2703,10.1076,2.47E-05,0.202157,30.1708,225.006,221.442
Er3Pd3Sn3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Er1Pd1Sn1_ICSD_657630,0.262370394,189,223.078,2.25729,27.1662,26.2977,4.81E-05,0.430196,-49.4609,88.8623,86.0215
Hf2Si4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Hf1Si2_ICSD_16697,1.142595926,63,446.898,1.98471,16.5071,16.1727,3.46E-05,0.256958,8.75036,131.763,129.094
C4Os8Zr16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Os2Zr4_ICSD_618619,0.57007103,227,354.004,1.92642,79.5689,78.4929,2.36E-05,0.312133,-10.834,182.068,179.606
Ag2In1Y1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2In1Y1_ICSD_58304,0.062194519,225,178.898,2.38541,12.4601,11.8044,7.53E-05,0.490297,-68.26,63.0119,59.6959
Nb1S4Tl3,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Nb1S4Tl3_ICSD_600246,0.380759193,217,225.946,1.98854,24.3022,23.3667,6.58E-05,0.428337,-48.8731,42.1859,40.562
P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/P1_ICSD_162244,1.384190277,221,609.852,2.63837,2.5876,2.46983,6.00E-05,0.188167,36.1273,105.286,100.494
Ge4Ir4Mn12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Ge1Ir1Mn3_ICSD_150394,0.334927999,198,302.99,1.96636,58.817,57.136,4.85E-05,0.352494,-24.4042,102.584,99.6524
B2Mg16Rh8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/B1Mg8Rh4_ICSD_249110,0.160252381,227,339.045,1.96104,75.7622,73.3873,5.44E-05,0.325224,-15.2909,82.8338,80.2373
Hf4P4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1P1_ICSD_42914,0.983795823,194,368.051,1.90719,22.6751,22.3093,2.85E-05,0.303023,-7.69541,144.228,141.901
N4Ni8Ta16,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/N1Ni2Ta4_ICSD_644599,0.683047038,227,387.94,1.98652,78.5184,77.4443,2.32E-05,0.290067,-3.17443,232.768,229.583
O8Pt6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/O4Pt3_ICSD_30444,0.271446614,223,308.031,2.39896,41.0076,39.9233,3.74E-05,0.348001,-22.917,201.353,196.029
Ga4Ir4Y4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ga1Ir1Y1_ICSD_634463,0.12125445,62,211.011,2.06662,35.957,35.1454,3.69E-05,0.441925,-53.1602,120.94,118.21
S12Y8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/S3Y2_ICSD_651407,0.519012434,62,383.095,1.90211,56.7773,55.4661,4.11E-05,0.294147,-4.60595,82.6311,80.7229
Hf4Pt12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Hf1Pt3_ICSD_104258,0.553983703,194,296.949,2.3427,46.6247,45.7696,2.64E-05,0.355925,-25.5364,220.14,216.102
Al36Mg6Mn4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al18Mg3Mn2_ICSD_107845,-0.072924914,227,375.124,1.93488,133.636,128.138,7.28E-05,0.301204,-7.06516,60.5721,58.0797
In1P1Pt5,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/In1P1Pt5_ICSD_640194,0.426916089,123,250.033,2.50564,20.8276,20.3117,3.34E-05,0.400542,-40.0248,194.467,189.65
C1Zr1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Zr1_ICSD_183162,0.968319941,216,316.951,1.72309,5.76733,5.68228,2.88E-05,0.339271,-20.0119,142.297,140.199
Ir1N1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ir1N1_ICSD_183156,0.441014496,216,208.042,2.20806,5.97993,5.86207,3.00E-05,0.446056,-54.4589,246.315,241.461
Co4Sn4Tb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Co1Sn1Tb1_ICSD_106977,0.445794068,62,268.093,2.0575,35.7896,34.6497,5.26E-05,0.38328,-34.4665,70.1115,67.8785
